identifier ,condition,income_level
,,
1512,recommendation,non-LMI
,,
1517,recommendation,non-LMI
,,
1531,recommendation,non-LMI
,,
1539,recommendation,non-LMI
,,
1543,recommendation,non-LMI
,,
1548,recommendation,non-LMI
,,
1551,recommendation,non-LMI
,,
1558,recommendation,non-LMI
,,
1559,recommendation,non-LMI
,,
1564,recommendation,non-LMI
,,
1566,recommendation,non-LMI
,,
1567,recommendation,non-LMI
,,
1568,recommendation,non-LMI
,,
1570,recommendation,non-LMI
,,
1573,recommendation,non-LMI
,,
1575,recommendation,non-LMI
,,
1576,recommendation,non-LMI
,,
1577,recommendation,non-LMI
,,
1580,recommendation,non-LMI
,,
1581,recommendation,non-LMI
,,
1586,recommendation,non-LMI
,,
1588,recommendation,non-LMI
,,
1593,recommendation,non-LMI
,,
1594,recommendation,non-LMI
,,
1597,recommendation,non-LMI
,,
1602,recommendation,non-LMI
,,
1604,recommendation,non-LMI
,,
1610,recommendation,non-LMI
,,
1612,recommendation,non-LMI
,,
1618,recommendation,non-LMI
,,
1627,recommendation,non-LMI
,,
1632,recommendation,non-LMI
,,
1633,recommendation,non-LMI
,,
1641,recommendation,non-LMI
,,
1645,recommendation,non-LMI
,,
1649,recommendation,non-LMI
,,
1652,recommendation,non-LMI
,,
1654,recommendation,non-LMI
,,
1657,recommendation,non-LMI
,,
1661,recommendation,non-LMI
,,
1663,recommendation,non-LMI
,,
1666,recommendation,non-LMI
,,
1667,recommendation,non-LMI
,,
1673,recommendation,non-LMI
,,
1712,control,non-LMI
,,
1715,control,non-LMI
,,
1717,control,non-LMI
,,
1720,control,non-LMI
,,
1729,control,non-LMI
,,
1730,control,non-LMI
,,
1740,control,non-LMI
,,
1742,control,non-LMI
1743,control,non-LMI
,,
1750,control,non-LMI
,,
1751,control,non-LMI
,,
1755,control,non-LMI
,,
1757,control,non-LMI
,,
1760,control,non-LMI
,,
1763,control,non-LMI
,,
1764,control,non-LMI
,,
1678,recommendation,non-LMI
,,
1679,recommendation,non-LMI
,,
1685,recommendation,non-LMI
,,
1689,recommendation,non-LMI
,,
1691,recommendation,non-LMI
,,
1692,recommendation,non-LMI
,,
1699,recommendation,non-LMI
,,
1703,recommendation,non-LMI
,,
1706,recommendation,non-LMI
,,
1710,recommendation,non-LMI
,,
1711,recommendation,non-LMI
,,
1714,recommendation,non-LMI
,,
1716,recommendation,non-LMI
,,
1719,recommendation,non-LMI
,,
1721,recommendation,non-LMI
,,
1727,recommendation,non-LMI
,,
1734,recommendation,non-LMI
,,
1737,recommendation,non-LMI
,,
1738,recommendation,non-LMI
,,
1741,recommendation,non-LMI
,,
1746,recommendation,non-LMI
,,
1748,recommendation,non-LMI
,,
1752,recommendation,non-LMI
,,
1754,recommendation,non-LMI
,,
1761,recommendation,non-LMI
,,
1765,recommendation,non-LMI
,,
1766,recommendation,non-LMI
,,
1780,control,non-LMI
,,
1792,control,non-LMI
,,
1795,control,non-LMI
,,
1796,control,non-LMI
,,
1798,control,non-LMI
,,
1811,control,non-LMI
,,
1812,control,non-LMI
,,
1816,control,non-LMI
,,
1821,control,non-LMI
,,
1824,control,non-LMI
,,
1827,control,non-LMI
,,
1828,control,non-LMI
,,
1770,recommendation,non-LMI
,,
1773,recommendation,non-LMI
,,
1774,recommendation,non-LMI
,,
1775,recommendation,non-LMI
,,
1777,recommendation,non-LMI
,,
1778,recommendation,non-LMI
,,
1788,recommendation,non-LMI
,,
1790,recommendation,non-LMI
,,
1799,recommendation,non-LMI
,,
1802,recommendation,non-LMI
,,
1806,recommendation,non-LMI
,,
1807,recommendation,non-LMI
,,
1838,control,non-LMI
,,
1842,control,non-LMI
,,
1851,control,non-LMI
,,
1855,control,non-LMI
,,
1857,control,non-LMI
,,
1858,control,non-LMI
,,
1860,control,non-LMI
,,
1861,control,non-LMI
,,
1818,recommendation,non-LMI
,,
1819,recommendation,non-LMI
,,
1823,recommendation,non-LMI
,,
1825,recommendation,non-LMI
,,
1832,recommendation,non-LMI
,,
1834,recommendation,non-LMI
,,
1865,control,non-LMI
,,
1870,control,non-LMI
,,
1876,control,non-LMI
,,
1846,recommendation,non-LMI
,,
1848,recommendation,non-LMI
,,
1852,recommendation,non-LMI
,,
1854,recommendation,non-LMI
,,
1882,control,non-LMI
,,
1885,control,non-LMI
,,
1887,control,non-LMI
,,
1863,recommendation,non-LMI
,,
1867,recommendation,non-LMI
,,
1869,recommendation,non-LMI
,,
1894,control,non-LMI
,,
1901,control,non-LMI
,,
1856,recommendation,non-LMI
,,
1871,recommendation,non-LMI
,,
1872,recommendation,non-LMI
,,
1877,recommendation,non-LMI
,,
1904,control,non-LMI
,,
1906,control,non-LMI
,,
1907,control,non-LMI
,,
1890,recommendation,non-LMI
,,
1891,recommendation,non-LMI
,,
1918,control,non-LMI
,,
1919,control,non-LMI
,,
1924,control,non-LMI
,,
1925,control,non-LMI
,,
1893,recommendation,non-LMI
,,
1896,recommendation,non-LMI
,,
1930,control,non-LMI
,,
1943,control,non-LMI
,,
1946,control,non-LMI
,,
1948,control,non-LMI
,,
1951,control,non-LMI
,,
1964,control,non-LMI
,,
1965,control,non-LMI
,,
1967,control,non-LMI
,,
1968,control,non-LMI
,,
1969,control,non-LMI
,,
1974,control,non-LMI
,,
1977,control,non-LMI
,,
1981,control,non-LMI
,,
1986,control,non-LMI
,,
1987,control,non-LMI
,,
1990,control,non-LMI
,,
1997,control,non-LMI
,,
1998,control,non-LMI
,,
1909,recommendation,non-LMI
,,
1910,recommendation,non-LMI
,,
1912,recommendation,non-LMI
,,
1915,recommendation,non-LMI
,,
1922,recommendation,non-LMI
,,
1923,recommendation,non-LMI
,,
1931,recommendation,non-LMI
,,
1933,recommendation,non-LMI
,,
1936,recommendation,non-LMI
,,
1937,recommendation,non-LMI
,,
1938,recommendation,non-LMI
,,
1940,recommendation,non-LMI
,,
1941,recommendation,non-LMI
,,
1953,recommendation,non-LMI
,,
1956,recommendation,non-LMI
,,
1958,recommendation,non-LMI
,,
1970,recommendation,non-LMI
,,
1973,recommendation,non-LMI
,,
1975,recommendation,non-LMI
,,
1976,recommendation,non-LMI
,,
1979,recommendation,non-LMI
,,
1985,recommendation,non-LMI
,,
1993,recommendation,non-LMI
,,
1994,recommendation,non-LMI
,,
1995,recommendation,non-LMI
,,
1000,control,LMI
,,
1003,control,LMI
,,
1005,control,LMI
,,
1007,control,LMI
,,
1012,control,LMI
,,
1017,control,LMI
,,
1027,control,LMI
,,
1030,control,LMI
,,
1037,control,LMI
,,
1041,control,LMI
,,
1042,control,LMI
,,
1044,control,LMI
,,
1046,control,LMI
,,
1053,control,LMI
,,
1061,control,LMI
,,
1063,control,LMI
,,
1067,control,LMI
,,
1069,control,LMI
,,
1072,control,LMI
,,
1076,control,LMI
,,
1077,control,LMI
,,
1078,control,LMI
,,
1079,control,LMI
,,
1082,control,LMI
,,
1087,control,LMI
,,
1093,control,LMI
,,
1099,control,LMI
,,
1103,control,LMI
,,
1105,control,LMI
,,
1106,control,LMI
,,
1111,control,LMI
,,
1129,control,LMI
,,
1133,control,LMI
,,
1139,control,LMI
,,
1160,control,LMI
,,
1165,control,LMI
,,
1167,control,LMI
,,
1169,control,LMI
,,
1170,control,LMI
,,
1173,control,LMI
,,
1177,control,LMI
,,
1185,control,LMI
,,
1193,control,LMI
,,
1194,control,LMI
,,
1197,control,LMI
,,
1201,control,LMI
,,
1205,control,LMI
,,
1208,control,LMI
,,
1209,control,LMI
,,
1210,control,LMI
,,
1212,control,LMI
,,
1218,control,LMI
,,
1220,control,LMI
,,
1222,control,LMI
,,
1226,control,LMI
,,
1232,control,LMI
,,
1233,control,LMI
,,
1236,control,LMI
,,
1247,control,LMI
,,
1248,control,LMI
,,
1249,control,LMI
,,
1252,control,LMI
,,
1259,control,LMI
,,
1260,control,LMI
,,
1261,control,LMI
,,
1268,control,LMI
,,
1270,control,LMI
,,
1273,control,LMI
,,
1274,control,LMI
,,
1282,control,LMI
,,
1288,control,LMI
,,
1290,control,LMI
,,
1291,control,LMI
,,
1296,control,LMI
,,
1297,control,LMI
,,
1305,control,LMI
,,
1306,control,LMI
,,
1310,control,LMI
,,
1313,control,LMI
,,
1316,control,LMI
,,
1322,control,LMI
,,
1325,control,LMI
,,
1326,control,LMI
,,
1329,control,LMI
,,
1335,control,LMI
,,
1339,control,LMI
,,
1343,control,LMI
,,
1349,control,LMI
,,
1352,control,LMI
,,
1355,control,LMI
,,
1359,control,LMI
,,
1361,control,LMI
,,
1363,control,LMI
,,
1366,control,LMI
,,
1369,control,LMI
,,
1380,control,LMI
,,
1390,control,LMI
,,
1391,control,LMI
,,
1393,control,LMI
,,
1399,control,LMI
,,
1400,control,LMI
,,
1403,control,LMI
,,
1407,control,LMI
,,
1409,control,LMI
,,
1410,control,LMI
,,
1415,control,LMI
,,
1416,control,LMI
,,
1420,control,LMI
,,
1423,control,LMI
,,
1428,control,LMI
,,
1429,control,LMI
,,
1436,control,LMI
,,
1438,control,LMI
,,
1439,control,LMI
,,
1447,control,LMI
,,
1450,control,LMI
,,
1451,control,LMI
,,
1454,control,LMI
,,
1456,control,LMI
,,
1460,control,LMI
,,
1462,control,LMI
,,
1464,control,LMI
,,
1469,control,LMI
,,
1475,control,LMI
,,
1476,control,LMI
,,
1477,control,LMI
,,
1478,control,LMI
,,
1483,control,LMI
,,
1491,control,LMI
,,
1493,control,LMI
,,
1498,control,LMI
,,
1499,control,LMI
,,
1510,control,LMI
,,
1514,control,LMI
,,
1518,control,LMI
,,
1522,control,LMI
,,
1523,control,LMI
,,
1524,control,LMI
,,
1525,control,LMI
,,
1527,control,LMI
,,
1528,control,LMI
,,
1536,control,LMI
,,
1542,control,LMI
,,
1545,control,LMI
,,
1546,control,LMI
,,
1547,control,LMI
,,
1550,control,LMI
,,
1553,control,LMI
,,
1554,control,LMI
,,
1555,control,LMI
,,
1556,control,LMI
,,
1561,control,LMI
,,
1585,control,LMI
,,
1589,control,LMI
,,
1591,control,LMI
,,
1592,control,LMI
,,
1598,control,LMI
,,
1600,control,LMI
,,
1601,control,LMI
,,
1001,recommendation,LMI
,,
1006,recommendation,LMI
,,
1009,recommendation,LMI
,,
1014,recommendation,LMI
,,
1015,recommendation,LMI
,,
1016,recommendation,LMI
,,
1022,recommendation,LMI
,,
1023,recommendation,LMI
,,
1024,recommendation,LMI
,,
1026,recommendation,LMI
,,
1032,recommendation,LMI
,,
1033,recommendation,LMI
,,
1034,recommendation,LMI
,,
1036,recommendation,LMI
,,
1043,recommendation,LMI
,,
1051,recommendation,LMI
,,
1056,recommendation,LMI
,,
1057,recommendation,LMI
,,
1059,recommendation,LMI
,,
1060,recommendation,LMI
,,
1062,recommendation,LMI
,,
1064,recommendation,LMI
,,
1065,recommendation,LMI
,,
1066,recommendation,LMI
,,
1070,recommendation,LMI
,,
1073,recommendation,LMI
,,
1085,recommendation,LMI
,,
1088,recommendation,LMI
,,
1092,recommendation,LMI
